MEZ_Date;Mez_Time;Level;MEZ;UTC
22.08.21;00:01;434;22.08.21 00:01;21.08.21 23:01
22.08.21;00:02;436;22.08.21 00:02;21.08.21 23:02
22.08.21;00:03;438;22.08.21 00:03;21.08.21 23:03
22.08.21;00:04;441;22.08.21 00:04;21.08.21 23:04
22.08.21;00:05;443;22.08.21 00:05;21.08.21 23:05
22.08.21;00:06;446;22.08.21 00:06;21.08.21 23:06
22.08.21;00:07;449;22.08.21 00:07;21.08.21 23:07
22.08.21;00:08;452;22.08.21 00:08;21.08.21 23:08
22.08.21;00:09;454;22.08.21 00:09;21.08.21 23:09
22.08.21;00:10;457;22.08.21 00:10;21.08.21 23:10
22.08.21;00:11;460;22.08.21 00:11;21.08.21 23:11
22.08.21;00:12;463;22.08.21 00:12;21.08.21 23:12
22.08.21;00:13;465;22.08.21 00:13;21.08.21 23:13
22.08.21;00:14;468;22.08.21 00:14;21.08.21 23:14
22.08.21;00:15;471;22.08.21 00:15;21.08.21 23:15
22.08.21;00:16;473;22.08.21 00:16;21.08.21 23:16
22.08.21;00:17;475;22.08.21 00:17;21.08.21 23:17
22.08.21;00:18;477;22.08.21 00:18;21.08.21 23:18
22.08.21;00:19;480;22.08.21 00:19;21.08.21 23:19
22.08.21;00:20;482;22.08.21 00:20;21.08.21 23:20
22.08.21;00:21;484;22.08.21 00:21;21.08.21 23:21
22.08.21;00:22;486;22.08.21 00:22;21.08.21 23:22
22.08.21;00:23;488;22.08.21 00:23;21.08.21 23:23
22.08.21;00:24;490;22.08.21 00:24;21.08.21 23:24
22.08.21;00:25;492;22.08.21 00:25;21.08.21 23:25
22.08.21;00:26;494;22.08.21 00:26;21.08.21 23:26
22.08.21;00:27;497;22.08.21 00:27;21.08.21 23:27
22.08.21;00:28;499;22.08.21 00:28;21.08.21 23:28
22.08.21;00:29;501;22.08.21 00:29;21.08.21 23:29
22.08.21;00:30;504;22.08.21 00:30;21.08.21 23:30
22.08.21;00:31;506;22.08.21 00:31;21.08.21 23:31
22.08.21;00:32;508;22.08.21 00:32;21.08.21 23:32
22.08.21;00:33;510;22.08.21 00:33;21.08.21 23:33
22.08.21;00:34;511;22.08.21 00:34;21.08.21 23:34
22.08.21;00:35;513;22.08.21 00:35;21.08.21 23:35
22.08.21;00:36;514;22.08.21 00:36;21.08.21 23:36
22.08.21;00:37;517;22.08.21 00:37;21.08.21 23:37
22.08.21;00:38;519;22.08.21 00:38;21.08.21 23:38
22.08.21;00:39;520;22.08.21 00:39;21.08.21 23:39
22.08.21;00:40;522;22.08.21 00:40;21.08.21 23:40
22.08.21;00:41;523;22.08.21 00:41;21.08.21 23:41
22.08.21;00:42;525;22.08.21 00:42;21.08.21 23:42
22.08.21;00:43;527;22.08.21 00:43;21.08.21 23:43
22.08.21;00:44;529;22.08.21 00:44;21.08.21 23:44
22.08.21;00:45;530;22.08.21 00:45;21.08.21 23:45
22.08.21;00:46;532;22.08.21 00:46;21.08.21 23:46
22.08.21;00:47;533;22.08.21 00:47;21.08.21 23:47
22.08.21;00:48;535;22.08.21 00:48;21.08.21 23:48
