MEZ_Date;Mez_Time;Level;MEZ;UTC
04.09.21;00:01;616;04.09.21 00:01;03.09.21 23:01
04.09.21;00:02;618;04.09.21 00:02;03.09.21 23:02
04.09.21;00:03;618;04.09.21 00:03;03.09.21 23:03
04.09.21;00:04;619;04.09.21 00:04;03.09.21 23:04
04.09.21;00:05;620;04.09.21 00:05;03.09.21 23:05
04.09.21;00:06;620;04.09.21 00:06;03.09.21 23:06
04.09.21;00:07;621;04.09.21 00:07;03.09.21 23:07
04.09.21;00:08;622;04.09.21 00:08;03.09.21 23:08
04.09.21;00:09;623;04.09.21 00:09;03.09.21 23:09
04.09.21;00:10;623;04.09.21 00:10;03.09.21 23:10
04.09.21;00:11;624;04.09.21 00:11;03.09.21 23:11
04.09.21;00:12;625;04.09.21 00:12;03.09.21 23:12
04.09.21;00:13;626;04.09.21 00:13;03.09.21 23:13
04.09.21;00:14;627;04.09.21 00:14;03.09.21 23:14
04.09.21;00:15;627;04.09.21 00:15;03.09.21 23:15
04.09.21;00:16;628;04.09.21 00:16;03.09.21 23:16
04.09.21;00:17;628;04.09.21 00:17;03.09.21 23:17
04.09.21;00:18;629;04.09.21 00:18;03.09.21 23:18
04.09.21;00:19;630;04.09.21 00:19;03.09.21 23:19
04.09.21;00:20;630;04.09.21 00:20;03.09.21 23:20
04.09.21;00:21;631;04.09.21 00:21;03.09.21 23:21
04.09.21;00:22;632;04.09.21 00:22;03.09.21 23:22
04.09.21;00:23;633;04.09.21 00:23;03.09.21 23:23
04.09.21;00:24;634;04.09.21 00:24;03.09.21 23:24
04.09.21;00:25;634;04.09.21 00:25;03.09.21 23:25
04.09.21;00:26;635;04.09.21 00:26;03.09.21 23:26
04.09.21;00:27;636;04.09.21 00:27;03.09.21 23:27
04.09.21;00:28;636;04.09.21 00:28;03.09.21 23:28
04.09.21;00:29;637;04.09.21 00:29;03.09.21 23:29
04.09.21;00:30;638;04.09.21 00:30;03.09.21 23:30
04.09.21;00:31;638;04.09.21 00:31;03.09.21 23:31
04.09.21;00:32;638;04.09.21 00:32;03.09.21 23:32
04.09.21;00:33;640;04.09.21 00:33;03.09.21 23:33
04.09.21;00:34;640;04.09.21 00:34;03.09.21 23:34
04.09.21;00:35;640;04.09.21 00:35;03.09.21 23:35
04.09.21;00:36;641;04.09.21 00:36;03.09.21 23:36
04.09.21;00:37;642;04.09.21 00:37;03.09.21 23:37
04.09.21;00:38;642;04.09.21 00:38;03.09.21 23:38
04.09.21;00:39;643;04.09.21 00:39;03.09.21 23:39
04.09.21;00:40;644;04.09.21 00:40;03.09.21 23:40
04.09.21;00:41;644;04.09.21 00:41;03.09.21 23:41
04.09.21;00:42;645;04.09.21 00:42;03.09.21 23:42
04.09.21;00:43;646;04.09.21 00:43;03.09.21 23:43
04.09.21;00:44;646;04.09.21 00:44;03.09.21 23:44
04.09.21;00:45;646;04.09.21 00:45;03.09.21 23:45
04.09.21;00:46;647;04.09.21 00:46;03.09.21 23:46
04.09.21;00:47;648;04.09.21 00:47;03.09.21 23:47
04.09.21;00:48;648;04.09.21 00:48;03.09.21 23:48
04.09.21;00:49;648;04.09.21 00:49;03.09.21 23:49
04.09.21;00:50;649;04.09.21 00:50;03.09.21 23:50
04.09.21;00:51;650;04.09.21 00:51;03.09.21 23:51
04.09.21;00:52;651;04.09.21 00:52;03.09.21 23:52
04.09.21;00:53;651;04.09.21 00:53;03.09.21 23:53
04.09.21;00:54;652;04.09.21 00:54;03.09.21 23:54
04.09.21;00:55;652;04.09.21 00:55;03.09.21 23:55
04.09.21;00:56;653;04.09.21 00:56;03.09.21 23:56
04.09.21;00:57;653;04.09.21 00:57;03.09.21 23:57
04.09.21;00:58;654;04.09.21 00:58;03.09.21 23:58
04.09.21;00:59;654;04.09.21 00:59;03.09.21 23:59
04.09.21;01:00;655;04.09.21 01:00;04.09.21 00:00
04.09.21;01:01;655;04.09.21 01:01;04.09.21 00:01
04.09.21;01:02;656;04.09.21 01:02;04.09.21 00:02
04.09.21;01:03;657;04.09.21 01:03;04.09.21 00:03
04.09.21;01:04;657;04.09.21 01:04;04.09.21 00:04
04.09.21;01:05;658;04.09.21 01:05;04.09.21 00:05
04.09.21;01:06;658;04.09.21 01:06;04.09.21 00:06
04.09.21;01:07;659;04.09.21 01:07;04.09.21 00:07
04.09.21;01:08;659;04.09.21 01:08;04.09.21 00:08
04.09.21;01:09;659;04.09.21 01:09;04.09.21 00:09
04.09.21;01:10;660;04.09.21 01:10;04.09.21 00:10
04.09.21;01:11;661;04.09.21 01:11;04.09.21 00:11
04.09.21;01:12;661;04.09.21 01:12;04.09.21 00:12
04.09.21;01:13;661;04.09.21 01:13;04.09.21 00:13
04.09.21;01:14;662;04.09.21 01:14;04.09.21 00:14
04.09.21;01:15;662;04.09.21 01:15;04.09.21 00:15
04.09.21;01:16;663;04.09.21 01:16;04.09.21 00:16
04.09.21;01:17;664;04.09.21 01:17;04.09.21 00:17
04.09.21;01:18;664;04.09.21 01:18;04.09.21 00:18
04.09.21;01:19;665;04.09.21 01:19;04.09.21 00:19
04.09.21;01:20;665;04.09.21 01:20;04.09.21 00:20
04.09.21;01:21;665;04.09.21 01:21;04.09.21 00:21
04.09.21;01:22;666;04.09.21 01:22;04.09.21 00:22
04.09.21;01:23;666;04.09.21 01:23;04.09.21 00:23
04.09.21;01:24;667;04.09.21 01:24;04.09.21 00:24
04.09.21;01:25;668;04.09.21 01:25;04.09.21 00:25
04.09.21;01:26;668;04.09.21 01:26;04.09.21 00:26
04.09.21;01:27;668;04.09.21 01:27;04.09.21 00:27
04.09.21;01:28;669;04.09.21 01:28;04.09.21 00:28
04.09.21;01:29;669;04.09.21 01:29;04.09.21 00:29
04.09.21;01:30;670;04.09.21 01:30;04.09.21 00:30
04.09.21;01:31;670;04.09.21 01:31;04.09.21 00:31
04.09.21;01:32;671;04.09.21 01:32;04.09.21 00:32
04.09.21;01:33;671;04.09.21 01:33;04.09.21 00:33
04.09.21;01:34;671;04.09.21 01:34;04.09.21 00:34
04.09.21;01:35;672;04.09.21 01:35;04.09.21 00:35
04.09.21;01:36;672;04.09.21 01:36;04.09.21 00:36
04.09.21;01:37;673;04.09.21 01:37;04.09.21 00:37
04.09.21;01:38;673;04.09.21 01:38;04.09.21 00:38
04.09.21;01:39;673;04.09.21 01:39;04.09.21 00:39
