MEZ_Date;Mez_Time;Level;MEZ;UTC
30.08.21;00:01;493;30.08.21 00:01;29.08.21 23:01
30.08.21;00:02;493;30.08.21 00:02;29.08.21 23:02
30.08.21;00:03;492;30.08.21 00:03;29.08.21 23:03
30.08.21;00:04;491;30.08.21 00:04;29.08.21 23:04
30.08.21;00:05;489;30.08.21 00:05;29.08.21 23:05
30.08.21;00:06;488;30.08.21 00:06;29.08.21 23:06
30.08.21;00:07;487;30.08.21 00:07;29.08.21 23:07
30.08.21;00:08;486;30.08.21 00:08;29.08.21 23:08
30.08.21;00:09;485;30.08.21 00:09;29.08.21 23:09
30.08.21;00:10;484;30.08.21 00:10;29.08.21 23:10
30.08.21;00:11;482;30.08.21 00:11;29.08.21 23:11
30.08.21;00:12;481;30.08.21 00:12;29.08.21 23:12
30.08.21;00:13;480;30.08.21 00:13;29.08.21 23:13
30.08.21;00:14;480;30.08.21 00:14;29.08.21 23:14
30.08.21;00:15;480;30.08.21 00:15;29.08.21 23:15
30.08.21;00:16;478;30.08.21 00:16;29.08.21 23:16
30.08.21;00:17;477;30.08.21 00:17;29.08.21 23:17
30.08.21;00:18;476;30.08.21 00:18;29.08.21 23:18
30.08.21;00:19;475;30.08.21 00:19;29.08.21 23:19
30.08.21;00:20;474;30.08.21 00:20;29.08.21 23:20
30.08.21;00:21;474;30.08.21 00:21;29.08.21 23:21
30.08.21;00:22;473;30.08.21 00:22;29.08.21 23:22
30.08.21;00:23;472;30.08.21 00:23;29.08.21 23:23
30.08.21;00:24;471;30.08.21 00:24;29.08.21 23:24
30.08.21;00:25;469;30.08.21 00:25;29.08.21 23:25
30.08.21;00:26;468;30.08.21 00:26;29.08.21 23:26
30.08.21;00:27;465;30.08.21 00:27;29.08.21 23:27
30.08.21;00:28;464;30.08.21 00:28;29.08.21 23:28
30.08.21;00:29;465;30.08.21 00:29;29.08.21 23:29
30.08.21;00:30;464;30.08.21 00:30;29.08.21 23:30
30.08.21;00:31;463;30.08.21 00:31;29.08.21 23:31
30.08.21;00:32;462;30.08.21 00:32;29.08.21 23:32
30.08.21;00:33;460;30.08.21 00:33;29.08.21 23:33
30.08.21;00:34;458;30.08.21 00:34;29.08.21 23:34
30.08.21;00:35;458;30.08.21 00:35;29.08.21 23:35
30.08.21;00:36;459;30.08.21 00:36;29.08.21 23:36
30.08.21;00:37;458;30.08.21 00:37;29.08.21 23:37
30.08.21;00:38;458;30.08.21 00:38;29.08.21 23:38
30.08.21;00:39;454;30.08.21 00:39;29.08.21 23:39
30.08.21;00:40;455;30.08.21 00:40;29.08.21 23:40
30.08.21;00:41;453;30.08.21 00:41;29.08.21 23:41
30.08.21;00:42;453;30.08.21 00:42;29.08.21 23:42
30.08.21;00:43;452;30.08.21 00:43;29.08.21 23:43
30.08.21;00:44;452;30.08.21 00:44;29.08.21 23:44
30.08.21;00:45;450;30.08.21 00:45;29.08.21 23:45
30.08.21;00:46;449;30.08.21 00:46;29.08.21 23:46
30.08.21;00:47;448;30.08.21 00:47;29.08.21 23:47
30.08.21;00:48;448;30.08.21 00:48;29.08.21 23:48
30.08.21;00:49;446;30.08.21 00:49;29.08.21 23:49
30.08.21;00:50;444;30.08.21 00:50;29.08.21 23:50
30.08.21;00:51;444;30.08.21 00:51;29.08.21 23:51
30.08.21;00:52;444;30.08.21 00:52;29.08.21 23:52
30.08.21;00:53;443;30.08.21 00:53;29.08.21 23:53
30.08.21;00:54;442;30.08.21 00:54;29.08.21 23:54
30.08.21;00:55;442;30.08.21 00:55;29.08.21 23:55
30.08.21;00:56;441;30.08.21 00:56;29.08.21 23:56
30.08.21;00:57;439;30.08.21 00:57;29.08.21 23:57
30.08.21;00:58;439;30.08.21 00:58;29.08.21 23:58
30.08.21;00:59;439;30.08.21 00:59;29.08.21 23:59
30.08.21;01:00;438;30.08.21 01:00;30.08.21 00:00
30.08.21;01:01;436;30.08.21 01:01;30.08.21 00:01
30.08.21;01:02;436;30.08.21 01:02;30.08.21 00:02
30.08.21;01:03;434;30.08.21 01:03;30.08.21 00:03
30.08.21;01:04;433;30.08.21 01:04;30.08.21 00:04
30.08.21;01:05;432;30.08.21 01:05;30.08.21 00:05
30.08.21;01:06;431;30.08.21 01:06;30.08.21 00:06
30.08.21;01:07;431;30.08.21 01:07;30.08.21 00:07
30.08.21;01:08;430;30.08.21 01:08;30.08.21 00:08
30.08.21;01:09;430;30.08.21 01:09;30.08.21 00:09
30.08.21;01:10;428;30.08.21 01:10;30.08.21 00:10
30.08.21;01:11;428;30.08.21 01:11;30.08.21 00:11
30.08.21;01:12;427;30.08.21 01:12;30.08.21 00:12
30.08.21;01:13;427;30.08.21 01:13;30.08.21 00:13
