MEZ_Date;Mez_Time;Level;MEZ;UTC
24.08.21;00:01;312;24.08.21 00:01;23.08.21 23:01
24.08.21;00:02;311;24.08.21 00:02;23.08.21 23:02
24.08.21;00:03;310;24.08.21 00:03;23.08.21 23:03
24.08.21;00:04;310;24.08.21 00:04;23.08.21 23:04
24.08.21;00:05;310;24.08.21 00:05;23.08.21 23:05
24.08.21;00:06;309;24.08.21 00:06;23.08.21 23:06
24.08.21;00:07;309;24.08.21 00:07;23.08.21 23:07
24.08.21;00:08;308;24.08.21 00:08;23.08.21 23:08
24.08.21;00:09;308;24.08.21 00:09;23.08.21 23:09
24.08.21;00:10;307;24.08.21 00:10;23.08.21 23:10
24.08.21;00:11;306;24.08.21 00:11;23.08.21 23:11
24.08.21;00:12;306;24.08.21 00:12;23.08.21 23:12
24.08.21;00:13;306;24.08.21 00:13;23.08.21 23:13
24.08.21;00:14;305;24.08.21 00:14;23.08.21 23:14
24.08.21;00:15;304;24.08.21 00:15;23.08.21 23:15
24.08.21;00:16;304;24.08.21 00:16;23.08.21 23:16
24.08.21;00:17;303;24.08.21 00:17;23.08.21 23:17
24.08.21;00:18;303;24.08.21 00:18;23.08.21 23:18
24.08.21;00:19;303;24.08.21 00:19;23.08.21 23:19
24.08.21;00:20;302;24.08.21 00:20;23.08.21 23:20
24.08.21;00:21;302;24.08.21 00:21;23.08.21 23:21
24.08.21;00:22;302;24.08.21 00:22;23.08.21 23:22
24.08.21;00:23;301;24.08.21 00:23;23.08.21 23:23
24.08.21;00:24;301;24.08.21 00:24;23.08.21 23:24
24.08.21;00:25;301;24.08.21 00:25;23.08.21 23:25
24.08.21;00:26;300;24.08.21 00:26;23.08.21 23:26
24.08.21;00:27;300;24.08.21 00:27;23.08.21 23:27
24.08.21;00:28;300;24.08.21 00:28;23.08.21 23:28
24.08.21;00:29;300;24.08.21 00:29;23.08.21 23:29
24.08.21;00:30;300;24.08.21 00:30;23.08.21 23:30
24.08.21;00:31;299;24.08.21 00:31;23.08.21 23:31
24.08.21;00:32;299;24.08.21 00:32;23.08.21 23:32
24.08.21;00:33;299;24.08.21 00:33;23.08.21 23:33
24.08.21;00:34;299;24.08.21 00:34;23.08.21 23:34
24.08.21;00:35;299;24.08.21 00:35;23.08.21 23:35
24.08.21;00:36;299;24.08.21 00:36;23.08.21 23:36
24.08.21;00:37;300;24.08.21 00:37;23.08.21 23:37
24.08.21;00:38;299;24.08.21 00:38;23.08.21 23:38
24.08.21;00:39;299;24.08.21 00:39;23.08.21 23:39
24.08.21;00:40;299;24.08.21 00:40;23.08.21 23:40
24.08.21;00:41;300;24.08.21 00:41;23.08.21 23:41
24.08.21;00:42;300;24.08.21 00:42;23.08.21 23:42
24.08.21;00:43;301;24.08.21 00:43;23.08.21 23:43
24.08.21;00:44;301;24.08.21 00:44;23.08.21 23:44
24.08.21;00:45;301;24.08.21 00:45;23.08.21 23:45
24.08.21;00:46;302;24.08.21 00:46;23.08.21 23:46
24.08.21;00:47;303;24.08.21 00:47;23.08.21 23:47
24.08.21;00:48;304;24.08.21 00:48;23.08.21 23:48
24.08.21;00:49;305;24.08.21 00:49;23.08.21 23:49
24.08.21;00:50;306;24.08.21 00:50;23.08.21 23:50
24.08.21;00:51;307;24.08.21 00:51;23.08.21 23:51
24.08.21;00:52;309;24.08.21 00:52;23.08.21 23:52
24.08.21;00:53;310;24.08.21 00:53;23.08.21 23:53
24.08.21;00:54;312;24.08.21 00:54;23.08.21 23:54
24.08.21;00:55;313;24.08.21 00:55;23.08.21 23:55
24.08.21;00:56;315;24.08.21 00:56;23.08.21 23:56
24.08.21;00:57;317;24.08.21 00:57;23.08.21 23:57
