MEZ_Date;Mez_Time;Level;MEZ;UTC
19.08.21;00:01;752;19.08.21 00:01;18.08.21 23:01
19.08.21;00:02;752;19.08.21 00:02;18.08.21 23:02
19.08.21;00:03;753;19.08.21 00:03;18.08.21 23:03
19.08.21;00:04;753;19.08.21 00:04;18.08.21 23:04
19.08.21;00:05;753;19.08.21 00:05;18.08.21 23:05
19.08.21;00:06;754;19.08.21 00:06;18.08.21 23:06
19.08.21;00:07;754;19.08.21 00:07;18.08.21 23:07
19.08.21;00:08;755;19.08.21 00:08;18.08.21 23:08
19.08.21;00:09;754;19.08.21 00:09;18.08.21 23:09
19.08.21;00:10;754;19.08.21 00:10;18.08.21 23:10
19.08.21;00:11;754;19.08.21 00:11;18.08.21 23:11
19.08.21;00:12;755;19.08.21 00:12;18.08.21 23:12
19.08.21;00:13;755;19.08.21 00:13;18.08.21 23:13
19.08.21;00:14;755;19.08.21 00:14;18.08.21 23:14
19.08.21;00:15;755;19.08.21 00:15;18.08.21 23:15
19.08.21;00:16;755;19.08.21 00:16;18.08.21 23:16
19.08.21;00:17;756;19.08.21 00:17;18.08.21 23:17
19.08.21;00:18;756;19.08.21 00:18;18.08.21 23:18
19.08.21;00:19;756;19.08.21 00:19;18.08.21 23:19
19.08.21;00:20;756;19.08.21 00:20;18.08.21 23:20
19.08.21;00:21;756;19.08.21 00:21;18.08.21 23:21
19.08.21;00:22;757;19.08.21 00:22;18.08.21 23:22
19.08.21;00:23;757;19.08.21 00:23;18.08.21 23:23
19.08.21;00:24;757;19.08.21 00:24;18.08.21 23:24
19.08.21;00:25;756;19.08.21 00:25;18.08.21 23:25
19.08.21;00:26;756;19.08.21 00:26;18.08.21 23:26
19.08.21;00:27;758;19.08.21 00:27;18.08.21 23:27
19.08.21;00:28;757;19.08.21 00:28;18.08.21 23:28
19.08.21;00:29;757;19.08.21 00:29;18.08.21 23:29
19.08.21;00:30;757;19.08.21 00:30;18.08.21 23:30
19.08.21;00:31;757;19.08.21 00:31;18.08.21 23:31
19.08.21;00:32;757;19.08.21 00:32;18.08.21 23:32
19.08.21;00:33;757;19.08.21 00:33;18.08.21 23:33
19.08.21;00:34;756;19.08.21 00:34;18.08.21 23:34
19.08.21;00:35;756;19.08.21 00:35;18.08.21 23:35
19.08.21;00:36;757;19.08.21 00:36;18.08.21 23:36
19.08.21;00:37;757;19.08.21 00:37;18.08.21 23:37
19.08.21;00:38;757;19.08.21 00:38;18.08.21 23:38
19.08.21;00:39;756;19.08.21 00:39;18.08.21 23:39
19.08.21;00:40;756;19.08.21 00:40;18.08.21 23:40
19.08.21;00:41;756;19.08.21 00:41;18.08.21 23:41
19.08.21;00:42;756;19.08.21 00:42;18.08.21 23:42
19.08.21;00:43;756;19.08.21 00:43;18.08.21 23:43
19.08.21;00:44;755;19.08.21 00:44;18.08.21 23:44
19.08.21;00:45;755;19.08.21 00:45;18.08.21 23:45
19.08.21;00:46;755;19.08.21 00:46;18.08.21 23:46
19.08.21;00:47;754;19.08.21 00:47;18.08.21 23:47
19.08.21;00:48;754;19.08.21 00:48;18.08.21 23:48
19.08.21;00:49;754;19.08.21 00:49;18.08.21 23:49
19.08.21;00:50;753;19.08.21 00:50;18.08.21 23:50
19.08.21;00:51;753;19.08.21 00:51;18.08.21 23:51
19.08.21;00:52;753;19.08.21 00:52;18.08.21 23:52
19.08.21;00:53;752;19.08.21 00:53;18.08.21 23:53
19.08.21;00:54;752;19.08.21 00:54;18.08.21 23:54
19.08.21;00:55;752;19.08.21 00:55;18.08.21 23:55
19.08.21;00:56;751;19.08.21 00:56;18.08.21 23:56
19.08.21;00:57;751;19.08.21 00:57;18.08.21 23:57
19.08.21;00:58;750;19.08.21 00:58;18.08.21 23:58
19.08.21;00:59;750;19.08.21 00:59;18.08.21 23:59
19.08.21;01:00;749;19.08.21 01:00;19.08.21 00:00
19.08.21;01:01;748;19.08.21 01:01;19.08.21 00:01
19.08.21;01:02;748;19.08.21 01:02;19.08.21 00:02
19.08.21;01:03;747;19.08.21 01:03;19.08.21 00:03
19.08.21;01:04;747;19.08.21 01:04;19.08.21 00:04
19.08.21;01:05;746;19.08.21 01:05;19.08.21 00:05
19.08.21;01:06;746;19.08.21 01:06;19.08.21 00:06
19.08.21;01:07;744;19.08.21 01:07;19.08.21 00:07
